date;cod_ibge;Executivo;Legislativo;total
2018-12-01;2304277;52,25;3,28;55,53
2019-04-01;2304277;53,41;3,52;56,93
2019-08-01;2304277;49,63;3,85;53,48
2019-12-01;2304277;53,19;4,20;57,39
2020-04-01;2304277;51,73;4,16;55,89
2020-08-01;2304277;53,22;3,89;57,11
2020-12-01;2304277;49,84;3,52;53,36
2018-04-01;2304285;51,56;3,12;54,68
2018-08-01;2304285;51,38;3,13;54,51
2018-12-01;2304285;50,89;3,05;53,94
2019-04-01;2304285;47,18;2,95;50,13
2019-08-01;2304285;45,14;2,94;48,08
2019-12-01;2304285;47,27;2,90;50,17
2020-04-01;2304285;50,76;2,91;53,67
2020-08-01;2304285;51,37;3,01;54,38
2020-12-01;2304285;50,11;2,97;53,08
2021-04-01;2304285;44,19;2,77;46,96
2019-04-01;2304301;48,71;2,39;51,10
2019-08-01;2304301;472,19;2,24;474,43
2019-12-01;2304301;47,95;2,30;50,25
2020-04-01;2304301;46,48;2,36;48,84
2020-08-01;2304301;48,92;2,65;51,57
2020-12-01;2304301;53,76;2,69;56,45
2021-04-01;2304301;54,94;2,88;57,82
2019-04-01;2304350;53,33;2,55;55,88
2019-08-01;2304350;54,28;2,52;56,80
2019-12-01;2304350;53,38;2,40;55,78
2021-04-01;2304350;53,71;2,26;55,97
2018-04-01;2304400;46,42;2,01;48,43
2018-08-01;2304400;45,39;1,97;47,36
2018-12-01;2304400;45,30;1,91;47,21
2019-04-01;2304400;44,64;1,88;46,52
2019-08-01;2304400;45,31;1,89;47,20
2019-12-01;2304400;42,31;1,76;44,07
2020-04-01;2304400;42,70;1,71;44,41
2020-08-01;2304400;42,75;1,72;44,47
2020-12-01;2304400;46,03;1,89;47,92
2021-04-01;2304400;47,23;1,76;48,99
2018-04-01;2304459;54,10;3,37;57,47
2018-08-01;2304459;53,35;3,32;56,67
2018-12-01;2304459;53,36;3,27;56,63
2019-04-01;2304459;53,16;3,11;56,27
2019-08-01;2304459;49,87;2,94;52,81
2019-12-01;2304459;46,57;2,71;49,28
2020-04-01;2304459;48,18;2,75;50,93
2020-08-01;2304459;50,04;2,78;52,82
2020-12-01;2304459;52,16;2,95;55,11
2021-04-01;2304459;48,80;2,83;51,63
2018-04-01;2304509;51,66;2,66;54,32
2018-08-01;2304509;49,65;2,61;52,26
2018-12-01;2304509;53,34;;
2019-04-01;2304509;54,36;2,56;56,92
2019-08-01;2304509;57,32;2,64;59,96
2019-12-01;2304509;55,85;2,61;58,46
2020-04-01;2304509;57,40;2,75;60,15
2020-08-01;2304509;55,78;2,73;58,51
2020-12-01;2304509;58,84;2,79;61,63
2021-04-01;2304509;53,45;2,67;56,12
2018-04-01;2304608;59,00;3,21;62,21
2018-08-01;2304608;55,83;1,93;57,76
2018-12-01;2304608;57,74;2,85;60,59
2019-04-01;2304608;53,86;2,69;56,55
2019-08-01;2304608;57,24;2,90;60,14
2019-12-01;2304608;58,37;3,06;61,43
2020-04-01;2304608;55,92;3,96;59,88
2020-08-01;2304608;52,61;3,88;56,49
2020-12-01;2304608;49,50;3,08;52,58
